title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source,must_have_abstract,title_zh,abstract_zh,categories,stable_id
Pan-cancer single-cell atlases of mouse and human tumor-associated dendritic cells,https://www.nature.com/articles/s41467-026-73721-w,,Nature Communications,2026-05-30 00:00:00+00:00,10.1038/s41467-026-73721-w,Damya Laoui,,"Dendritic cells (DCs) are critical inducers of anti-tumor immunity. To achieve a comprehensive mapping of mouse and human DC subsets and states in a cancer context, here we generate pan-cancer mouse and human tumor-associated DC (TADC) scRNA-seq atlases, encompassing 14 mouse tumor models and 10 human cancer types, within which we identify several lineage-defined DC subsets along with maturation/functional states. We show that TADCs acquire an inflammatory profile with tumor progression and that tumor-mediated reprogramming occurs within the DCs from lymph nodes of tumor-bearing mice. Importantly, we demonstrate that TADCs are broadly conserved between mice and humans, although species-specific differences may exist in some subsets and states. Moreover, we present a comprehensive assessment of how different human TADC clusters associate with patient survival outcomes. Overall, we provide an in-depth characterization of the TADC compartment in mouse and human cancers, which can improve our understanding of the tumor microenvironment and contribute to the development of new anti-cancer therapies.",nature_html,,小鼠和人类肿瘤相关树突状细胞的泛癌单细胞图谱,树突状细胞（DC）是抗肿瘤免疫的关键诱导剂。为了在癌症背景下全面绘制小鼠和人类 DC 子集和状态，我们在这里生成了泛癌小鼠和人类肿瘤相关 DC (TADC) scRNA-seq 图集，涵盖 14 种小鼠肿瘤模型和 10 种人类癌症类型，其中我们识别了几种谱系定义的 DC 子集以及成熟/功能状态。我们发现，TADC 随着肿瘤进展而获得炎症特征，并且肿瘤介导的重编程发生在来自荷瘤小鼠淋巴结的 DC 内。重要的是，我们证明 TADC 在小鼠和人类之间广泛保守，尽管在某些亚群和状态中可能存在物种特异性差异。此外，我们对不同的人类 TADC 簇与患者生存结果的关系进行了全面评估。总的来说，我们对小鼠和人类癌症中的 TADC 区室进行了深入的表征，这可以提高我们对肿瘤微环境的理解，并有助于新抗癌疗法的开发。,,920597041ce9ffc6
Does U.S.-China trade war exacerbate energy poverty? Evidence from Chinese households,https://www.sciencedirect.com/science/article/pii/S0301421526003083?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-05-30 00:00:00+00:00,,Morris Ming Liu,,,,,中美贸易战是否会加剧能源贫困？来自中国家庭的证据,,,72fb74f79a6846d6
Extraordinary heat insulation in RbAg4I5,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag318/8698482?rss=1,,National Science Review Advance Access,2026-05-30 00:00:00+00:00,10.1093/nsr/nwag318,Yanzhong Pei,,"Superionic conductors are characterized by highly mobile charged ions, reflecting the presence of loosely bonded and partially occupied species within their crystal structures. These structural features are also essential for achieving high-performance thermal insulation. However, conventional skeleton materials used for thermal insulation, such as SiO2, lack such crystallographic attributes. As a result, room-temperature thermal conductivity (κ) values for fully dense and 3%-dense SiO2 remain around 1400 and 15 mW m−1 K−1, respectively. This work demonstrates the use of superionic conductors as a new paradigm for thermal insulation. Single-crystalline RbAg4I5 is shown to exhibit an exceptionally low κ of 130 mW m−1 K−1 at room temperature. Furthermore, a 3.6%-dense porous form of RbAg4I5 achieves a record-low κ of only 6 mW m−1 K−1 substantially outperforming existing porous thermal insulators. When applied as filler in a conventional Bi2Te3 thermoelectric device, this porous insulator suppresses gas-mediated heat transfer, leading to a 10% improvement in device performance. In addition, this material effectively isolates heat from a CPU to enable a temperature drop of 5.3 K for the adjacent flash memory thus a 16% improvement in its startup speed. The design strategy introduced here is expected to open new pathways for advancing thermal management technologies.",rss_oup,,RbAg4I5 具有非凡的隔热性能,超离子导体的特点是高度移动的带电离子，反映了其晶体结构中存在松散键合和部分占据的物质。这些结构特征对于实现高性能隔热也至关重要。然而，用于隔热的传统骨架材料，例如SiO2，缺乏这样的晶体学属性。因此，全致密和 3% 致密 SiO2 的室温热导率 (κ) 值分别保持在 1400 和 15 mW m−1 K−1 左右。这项工作展示了超离子导体作为隔热新范例的使用。单晶 RbAg4I5 在室温下表现出 130 mW m−1 K−1 的极低 κ。此外，密度为 3.6% 的 RbAg4I5 多孔形式实现了仅 6 mW m−1 K−1 的创纪录低 κ，大大优于现有的多孔绝热体。当用作传统 Bi2Te3 热电器件中的填料时，这种多孔绝缘体可抑制气体介导的传热，从而使器件性能提高 10%。此外，该材料有效隔离CPU热量，使相邻闪存温度下降5.3K，启动速度提升16%。这里介绍的设计策略预计将为推进热管理技术开辟新的途径。,,ea1b05ad41b74674
High-throughput production of microbatteries by a stack-punching method,https://www.nature.com/articles/s41467-026-73912-5,,Nature Communications,2026-05-30 00:00:00+00:00,10.1038/s41467-026-73912-5,Hao Sun,,"Microbatteries are critical power sources for integrated circuits, wearable electronics, implantable medical devices, and microrobots. However, their practical applications have been limited by conventional bottom-up assembly methods, which suffer from low production efficiency, poor uniformity, and inferior electrochemical performance. Here we report a top-down stack-punching approach for high-throughput production of microbatteries. Through the integration of an initially anode-free design with an interpenetrating positive electrode|electrolyte fusion layer, we construct robust electrode|electrolyte interfaces to withstand the mechanical stress induced by the high-speed punching process, with a high production rate of 1800 units per hour. The resulting microbatteries are highly uniform in both physical dimensions and electrochemical performance, achieving a maximum volumetric energy density of 1306 mWh cm−3, highly competitive among state-of-the-art microbattery technologies. As a proof-of-concept, these microbatteries are integrated with miniature sensors for continuous health monitoring and mounted onto ants and bees to potentially develop biohybrid microsystems for ecological and geological data collection. Overall, our stack-punching approach offers a promising tool for the large-scale manufacture of high-performance microbatteries, facilitating their translation into next-generation electronic devices and systems.",nature_html,,通过堆叠冲压法高通量生产微电池,微电池是集成电路、可穿戴电子产品、植入式医疗设备和微型机器人的关键电源。然而，它们的实际应用受到传统自下而上组装方法的限制，该方法存在生产效率低、均匀性差和电化学性能差的问题。在这里，我们报告了一种用于高通量生产微电池的自上而下的堆叠打孔方法。通过将最初的无阳极设计与互穿的正极|电解质融合层相集成，我们构建了坚固的电极|电解质界面，以承受高速冲压工艺引起的机械应力，生产率高达每小时 1800 件。由此产生的微电池在物理尺寸和电化学性能方面都高度均匀，最大体积能量密度达到1306 mWh cm−3，在最先进的微电池技术中具有很强的竞争力。作为概念验证，这些微电池与微型传感器集成，用于持续健康监测，并安装在蚂蚁和蜜蜂身上，有可能开发用于生态和地质数据收集的生物混合微系统。总体而言，我们的堆叠打孔方法为大规模制造高性能微电池提供了一种有前景的工具，有助于将其转化为下一代电子设备和系统。,,573d3efc11d86fc2
Prospect and advancement of high-entropy alloys as solid-state hydrogen storage materials for large-scale applications,https://www.sciencedirect.com/science/article/pii/S0306261926007257?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-30 00:00:00+00:00,,Song-Jeng Huang,,,,,高熵合金固态储氢材料大规模应用的前景与进展,,,76d704c21437d732
Natural hydrogen systems: understanding accumulation and confronting subsurface challenges,https://www.sciencedirect.com/science/article/pii/S030626192600694X?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-30 00:00:00+00:00,,Aliakbar Hassanpouryouzband,,,,,天然氢系统：了解积累并应对地下挑战,,,b8076b79dab7a819
Exploring flexibility of hydrogen energy storage in power system via multi-time-resolution uncertainty,https://www.sciencedirect.com/science/article/pii/S0306261926007208?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-30 00:00:00+00:00,,Xifan Wang,,,,,基于多时间分辨率不确定性探索氢能存储在电力系统中的灵活性,,,b87af6d91503e01c
Operating region characterization for electric-hydrogen coupling systems considering degradation of key components in PEM electrolyzers,https://www.sciencedirect.com/science/article/pii/S0306261926007130?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-30 00:00:00+00:00,,Yifan Wang,,,,,考虑 PEM 电解槽关键部件退化的电氢耦合系统的工作区域表征,,,e7efad16d55a0fb9
Two-stage uncertainty modeling for temporal energy scheduling during extreme weather conditions,https://www.sciencedirect.com/science/article/pii/S0306261926006872?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-30 00:00:00+00:00,,H. Vincent Poor,,,,,极端天气条件下时间能源调度的两阶段不确定性建模,,,99ec69ca3f33bc0b
Hearing higher-order Weyl exceptional ring in lossy metamaterials,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag311/8698485?rss=1,,National Science Review Advance Access,2026-05-30 00:00:00+00:00,10.1093/nsr/nwag311,Franco Nori,,,,,聆听有损超材料中的高阶 Weyl 异常环,,,26652544d1b6c54b
Detection of false data injection and black-box adversarial attacks in peer-to-peer energy trading: A cloud-edge collaborative context-aware learning approach,https://www.sciencedirect.com/science/article/pii/S0306261926007506?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-30 00:00:00+00:00,,Keng-Weng Lao,,,,,点对点能源交易中虚假数据注入和黑盒对抗攻击的检测：云边缘协作上下文感知学习方法,,,de93e3485896bffc
DSDINet: Deep semantic decoupling and integration photovoltaic solar cell defect segmentation network,https://www.sciencedirect.com/science/article/pii/S0306261926007452?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-30 00:00:00+00:00,,Jinxia Zhang,,,,,DSDINet：深度语义解耦与集成光伏太阳能电池缺陷分割网络,,,32f47603c2ba04c5
Laser fabricated micropattern of anode flow field enhances under-rib mass transport and performance in PEM water electrolysis,https://www.sciencedirect.com/science/article/pii/S0306261926007427?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-30 00:00:00+00:00,,Qiang Liao,,,,,激光制造的阳极流场微图案增强了质子交换膜水电解中的肋下质量传输和性能,,,92b58bfa90e8ef7a
Federated electricity demand forecasting: A client selection mechanism based on TimeVAE latent representations,https://www.sciencedirect.com/science/article/pii/S0306261926007166?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-30 00:00:00+00:00,,Hugo Morais,,,,,联合电力需求预测：基于TimeVAE潜在表示的客户选择机制,,,bcd6666038aa3dde
Climate-resilient plant factory cultivation via diffusion policy for intelligent energy management and sustainable crop production,https://www.sciencedirect.com/science/article/pii/S0306261926007610?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-30 00:00:00+00:00,,Fengqi You,,,,,通过扩散政策实现气候适应性植物工厂化种植，实现智能能源管理和可持续作物生产,,,ba4b6196b14079aa
Physical solutions for hydrogen storage: An overview,https://www.sciencedirect.com/science/article/pii/S0306261926007270?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-30 00:00:00+00:00,,Wenjie Qi,,,,,储氢物理解决方案：概述,,,0dac149c8b76a98c
A novel demand response framework for the optimal design of hydrogen-ammonia hybrid microgrids,https://www.sciencedirect.com/science/article/pii/S0306261926007269?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-30 00:00:00+00:00,,Sayed Abulanwar,,,,,用于氢氨混合微电网优化设计的新型需求响应框架,,,399e61539f7c5037
Universal transient stability analysis: A pre-trained generative transformer-enabled power system dynamics prediction framework,https://www.sciencedirect.com/science/article/pii/S030626192600680X?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-30 00:00:00+00:00,,Mingyang Sun,,,,,通用暂态稳定性分析：预先训练的生成变压器支持的电力系统动态预测框架,,,80ccae0076ab0d69
Global coordinated transient voltage support strategy for clustered renewable power plants considering fault evolution,https://www.sciencedirect.com/science/article/pii/S0306261926006793?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-30 00:00:00+00:00,,Xianyong Xiao,,,,,考虑故障演化的集群式可再生能源电站全局协调暂态电压支持策略,,,262c0ab116a18c6b
Evaluation of photovoltaic energy availability under extreme atmospheric attenuation through nanofluid spectral modulation pathways,https://www.sciencedirect.com/science/article/pii/S0306261926007622?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-05-30 00:00:00+00:00,,Weijun Gao,,,,,通过纳米流体光谱调制途径评估极端大气衰减下光伏能源的可用性,,,13fc4859c67060c3
Bridging Synthesis and Device Performance in Perovskite Quantum Dot Light‐Emitting Diodes,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.73516?af=R,,Wiley: Advanced Materials: Table of Contents,2026-05-30 02:59:45+00:00,10.1002/adma.73516,Liang‐Sheng Liao,,"ABSTRACT
                  Perovskite quantum dots (PQDs) have emerged as promising emitters for next‐generation light‐emitting diodes (LEDs), owing to their exceptional color purity, tunable bandgaps, and high photoluminescence quantum yields (PLQYs). This review provides a comprehensive and insightful overview of the recent advances in PQD‐LEDs, with particular emphasis on the fundamental correlations between material synthesis, surface chemistry, and device engineering. We systematically examine the integrated “synthesis–surface–device” optimization framework, discussing advanced synthetic strategies, compositional and surface engineering for defect suppression and stability enhancement, and device‐level approaches to improve charge balance, radiative recombination, light outcoupling, and operational stability. By bridging foundational knowledge with material innovations and device design, this work offers a clear roadmap and step‐by‐step guidance for developing high‐performance PQD‐LEDs.",crossref,,钙钛矿量子点发光二极管的桥接合成和器件性能,"摘要
                  钙钛矿量子点（PQD）因其卓越的色纯度、可调带隙和高光致发光量子产率（PLQY）而成为下一代发光二极管（LED）的有前途的发射器。这篇综述对 PQD-LED 的最新进展进行了全面而深刻的概述，特别强调了材料合成、表面化学和器件工程之间的基本相关性。我们系统地研究了集成的“合成-表面-器件”优化框架，讨论了先进的合成策略、用于缺陷抑制和稳定性增强的成分和表面工程，以及改善电荷平衡、辐射复合、光输出耦合和操作稳定性的器件级方法。通过将基础知识与材料创新和器件设计联系起来，这项工作为开发高性能 PQD-LED 提供了清晰的路线图和分步指导。",,03dc69e2da413ad8
Covalently Fused Nanofiber Aerogels With Exceptional Mechanical Robustness and Thermal Insulation for Deployable Space Systems,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.73564?af=R,,Wiley: Advanced Materials: Table of Contents,2026-05-30 04:34:24+00:00,10.1002/adma.73564,Yanhua Cheng,,"ABSTRACT
                  
                    Nanofibrous aerogels exhibit an ultralow bulk density, making them highly desirable for lightweight aerospace structures. Nevertheless, these materials are often hampered by inherent physical brittleness, leading to severe structural failure under complex mechanical loads. To address this challenge, we developed a hybrid aerogel featuring core‐shell inter‐fiber junctions covalently fused via siloxane bonds, fabricated by in‐situ vapor‐phase polymerization of poly(vinylsilsesquioxane) (PVSQ) on a continuous and crosslinked native bacterial cellulose (BC) network. This unique architecture endows the aerogel (BC‐PVSQ) with outstanding mechanical adaptability and toughness, including &gt;99% compressibility, bending resilience (curvature &gt; 20 mm
                    −1
                    ), robust tensile strength, and structural integrity over 10,000 shearing cycles. Significantly, it maintains low density (16.1 mg cm
                    −3
                    ) and thermal conductivity (27.0 ± 0.2 mW m
                    −1
                    K
                    −1
                    ). As a proof of concept, we demonstrate the practical potential of the material for space‐deployable drag‐augmentation deorbiting spheres, enabling reversible folding compaction and reliable deployment, and for flexible habitat insulation, where it shows superior thermal insulation performance relative to conventional aerospace insulation materials under simulated Martian atmospheric conditions. This work successfully resolves the longstanding trade‐off between mechanical robustness and thermal insulation, laying a multifunctional technological foundation for next‐generation lightweight deployable systems designed for space environments.",crossref,,共价熔合纳米纤维气凝胶具有卓越的机械鲁棒性和隔热性，适用于可部署空间系统,"摘要
                  
                    纳米纤维气凝胶具有超低的堆积密度，使其成为轻质航空航天结构的理想选择。然而，这些材料往往受到固有的物理脆性的阻碍，导致在复杂的机械载荷下出现严重的结构故障。为了应对这一挑战，我们开发了一种混合气凝胶，具有通过硅氧烷键共价融合的核壳纤维间连接，通过聚（乙烯基倍半硅氧烷）（PVSQ）在连续交联的天然细菌纤维素（BC）网络上的原位气相聚合制备而成。这种独特的结构赋予气凝胶（BC-PVSQ）出色的机械适应性和韧性，包括 >99% 的压缩性、弯曲回弹性（曲率 > 20 mm）
                    −1
                    ）、强大的拉伸强度和超过 10,000 次剪切循环的结构完整性。值得注意的是，它保持低密度（16.1 mg cm
                    −3
                    ）和导热系数（27.0 ± 0.2 mW m
                    −1
                    K
                    −1
                    ）。作为概念证明，我们展示了该材料在可空间部署的阻力增强离轨球体方面的实际潜力，可实现可逆折叠压实和可靠部署，以及灵活的栖息地隔热，在模拟火星大气条件下，该材料相对于传统航空航天隔热材料表现出卓越的隔热性能。这项工作成功解决了长期存在的问题",,a51eafbc82b2738d
